,,,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,FPts,FPts/G
Minnesota Vikings,1,2,2,1,2,16,271.0,64.0,0,0,17.0,17.0
New York Jets,1,7,0,1,0,23,366.0,57.0,0,0,8.0,8.0
Houston Texans,1,5,0,1,0,14,216.0,73.0,0,0,6.0,6.0
Philadelphia Eagles,1,3,0,1,0,10,190.0,120.0,1,0,6.0,6.0
Buffalo Bills,1,4,1,0,0,13,258.0,83.0,0,0,5.0,5.0
Carolina Panthers,1,2,1,2,0,21,178.0,148.0,0,0,5.0,5.0
Seattle Seahawks,1,5,0,0,0,10,186.0,64.0,0,0,5.0,5.0
Miami Dolphins,1,3,1,1,0,12,258.0,112.0,0,0,5.0,5.0
Arizona Cardinals,1,2,2,0,0,23,264.0,106.0,0,0,4.0,4.0
Green Bay Packers,1,3,0,1,0,23,320.0,48.0,0,0,4.0,4.0
San Diego Chargers,1,3,0,1,0,33,363.0,83.0,0,0,4.0,4.0
San Francisco 49ers,1,2,0,2,0,0,130.0,65.0,0,0,4.0,4.0
Denver Broncos,1,3,0,1,0,20,194.0,157.0,0,0,4.0,4.0
Detroit Lions,1,2,0,0,0,35,385.0,82.0,1,0,4.0,4.0
Chicago Bears,1,2,0,1,0,23,231.0,129.0,0,0,3.0,3.0
Tampa Bay Buccaneers,1,3,0,0,0,24,334.0,52.0,0,0,3.0,3.0
Dallas Cowboys,1,2,0,1,0,20,207.0,113.0,0,0,3.0,3.0
New England Patriots,1,3,0,0,0,21,271.0,92.0,0,0,3.0,3.0
Oakland Raiders,1,1,1,0,0,34,423.0,88.0,0,0,2.0,2.0
Baltimore Ravens,1,2,0,0,0,7,111.0,65.0,0,0,2.0,2.0
Pittsburgh Steelers,1,0,0,2,0,16,329.0,55.0,0,0,2.0,2.0
Cincinnati Bengals,1,1,0,1,0,22,189.0,152.0,0,0,2.0,2.0
Cleveland Browns,1,2,0,0,0,29,278.0,133.0,0,0,2.0,2.0
Washington Redskins,1,1,0,1,0,38,300.0,147.0,0,0,2.0,2.0
Atlanta Falcons,1,0,0,1,0,31,281.0,90.0,0,0,1.0,1.0
Indianapolis Colts,1,1,0,0,0,39,340.0,116.0,0,0,1.0,1.0
Jacksonville Jaguars,1,1,0,0,0,27,199.0,95.0,0,0,1.0,1.0
Kansas City Chiefs,1,1,0,0,0,27,243.0,155.0,0,0,1.0,1.0
Los Angeles Rams,1,0,1,0,0,28,170.0,150.0,0,0,1.0,1.0
New York Giants,1,0,0,0,0,19,227.0,101.0,0,0,0.0,0.0
Tennessee Titans,1,0,0,0,0,25,236.0,65.0,0,0,0.0,0.0
New Orleans Saints,1,0,0,0,0,35,319.0,167.0,0,0,0.0,0.0
