,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Fantasy,Fantasy
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD,FPts,FPts/G
Drew Brees,NO,1,28,42,423,4,0,2,5,0,37.7,37.7
Andrew Luck,IND,1,31,47,385,4,0,3,21,0,37.4,37.4
Alex Smith,KC,1,34,48,363,2,1,4,15,1,33.7,33.7
Jameis Winston,TB,1,23,33,281,4,1,4,3,0,30.4,30.4
Matthew Stafford,DET,1,31,39,340,3,0,2,5,0,29.5,29.5
Ben Roethlisberger,PIT,1,27,37,300,3,1,1,-2,0,26.8,26.8
Matt Ryan,ATL,1,27,39,334,2,0,3,10,0,25.7,25.7
Aaron Rodgers,GB,1,20,34,199,2,0,4,16,1,25.6,25.6
Cam Newton,CAR,1,18,33,194,1,1,11,54,1,25.1,25.1
Marcus Mariota,TEN,1,25,41,271,2,1,4,19,0,23.5,23.5
Andy Dalton,CIN,1,23,30,366,1,1,3,7,0,23.0,23.0
Eli Manning,NYG,1,19,28,207,3,1,0,0,0,22.4,22.4
Carson Wentz,PHI,1,22,37,278,2,0,2,1,0,22.0,22.0
Carson Palmer,ARI,1,24,37,271,2,0,2,1,0,21.7,21.7
Derek Carr,OAK,1,24,38,319,1,0,2,16,0,21.6,21.6
Brock Osweiler,HOU,1,22,35,231,2,1,4,14,0,21.0,21.0
Blake Bortles,JAC,1,24,39,320,1,1,2,2,0,20.2,20.2
Ryan Fitzpatrick,NYJ,1,19,35,189,2,1,4,15,0,19.0,19.0
Russell Wilson,SEA,1,27,43,258,1,1,4,16,0,18.5,18.5
Jimmy Garoppolo,NE,1,24,33,264,1,0,4,12,0,18.4,18.4
Kirk Cousins,WAS,1,30,43,329,0,2,1,8,0,17.3,17.3
Philip Rivers,SD,1,25,36,243,1,0,2,9,0,17.1,17.1
Ryan Tannehill,MIA,1,16,29,186,0,0,5,17,1,17.0,17.0
Blaine Gabbert,SF,1,22,35,170,1,0,9,43,0,16.8,16.8
Joe Flacco,BAL,1,23,34,258,1,0,4,-3,0,16.6,16.6
Jay Cutler,CHI,1,16,29,216,1,1,2,12,0,16.0,16.0
Trevor Siemian,DEN,1,18,26,178,1,2,5,20,0,14.9,14.9
Robert Griffin III,CLE,1,12,26,190,0,1,5,37,0,13.2,13.2
Shaun Hill,MIN,1,18,33,236,0,0,2,8,0,12.6,12.6
Dak Prescott,DAL,1,25,45,227,0,0,2,12,0,12.6,12.6
Case Keenum,LAR,1,17,35,130,0,2,3,10,0,7.5,7.5
Tyrod Taylor,BUF,1,15,22,111,0,0,5,11,0,6.7,6.7
