,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Stephen Gostkowski,NE,1,3,3,100.0%,6,6
Steve Hauschka,SEA,1,4,4,100.0%,2,2
Josh Brown,NYG,1,3,3,100.0%,3,3
Dan Carpenter,BUF,1,2,3,66.7%,5,5
Chandler Catanzaro,ARI,1,1,1,100.0%,6,6
Graham Gano,CAR,1,2,2,100.0%,3,3
Sebastian Janikowski,OAK,1,2,2,100.0%,3,3
Ryan Succop,TEN,1,2,2,100.0%,3,3
Travis Coons,CLE,1,2,2,100.0%,2,2
Mason Crosby,GB,1,1,1,100.0%,5,5
Matt Bryant,ATL,1,1,1,100.0%,4,4
Randy Bullock,HOU,1,2,3,66.7%,1,2
Dustin Hopkins,WAS,1,2,2,100.0%,1,1
Blair Walsh,MIN,1,1,1,100.0%,4,4
Brandon McManus,DEN,1,1,1,100.0%,3,3
Cody Parkey,PHI,1,1,1,100.0%,3,3
Josh Scobee,PIT,1,2,2,100.0%,0,0
Justin Tucker,BAL,1,1,2,50.0%,3,3
Greg Zuerlein,STL,1,2,2,100.0%,0,0
Nick Folk,NYJ,1,1,1,100.0%,2,2
Jason Myers,JAC,1,1,1,100.0%,2,2
Adam Vinatieri,IND,1,0,0,0.0%,5,5
Dan Bailey,DAL,1,0,0,0.0%,4,4
Zach Hocker,NO,1,1,1,100.0%,1,1
Mike Nugent,CIN,1,0,0,0.0%,4,4
Kyle Brindza,TB,1,1,4,25.0%,0,1
Josh Lambo,SD,1,0,0,0.0%,2,2
Cairo Santos,KC,1,0,0,0.0%,2,2
Phil Dawson,SF,1,0,0,0.0%,1,1
Matt Prater,DET,1,0,0,0.0%,0,1
