Player,Team,Games Played,Kick Returns,Kick Return Yards,Kick Return Avg,Kick Return Touchdowns,Kick Return Fair Catches,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Long,Punt Return Touchdowns,Punt Return Fair Catches
"Patterson, Cordarrelle",MIN,16,32,1019,31.8,2,0,0,0,-,0,0,0
"Abdullah, Ameer",DET,16,37,1077,29.1,0,0,0,0,-,0,0,0
"Harris, Dwayne",NYG,15,22,631,28.7,1,0,34,341,10.0,80,1,7
"Cunningham, Benny",STL,16,25,714,28.6,0,0,0,0,-,0,0,0
"Johnson, David",ARZ,16,22,598,27.2,1,0,0,0,-,0,0,0
"Bray, Quan",IND,9,21,570,27.1,0,0,21,166,7.9,33,0,7
"Jones, Taiwan",OAK,12,31,829,26.7,0,0,0,0,-,0,0,0
"Lockett, Tyler",SEA,16,33,852,25.8,1,0,40,379,9.5,66,1,21
"Ellington, Bruce",SF,13,26,665,25.6,0,0,19,137,7.2,36,0,17
"Davis, Knile",KC,14,24,603,25.1,0,0,0,0,-,0,0,0
"Ross, Rashad",WSH,13,28,684,24.4,1,0,0,0,-,0,0,0
"Huff, Josh",PHI,15,21,498,23.7,0,0,0,0,-,0,0,0
"Williams, Damien",MIA,16,21,457,21.8,0,0,0,0,-,0,0,0
