,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jordan Reed,WAS,1,9,9,134,1
Jermichael Finley,GB,1,5,5,72,1
Jordan Cameron,CLE,1,9,7,55,1
Rob Gronkowski,NE,1,17,8,114,0
Delanie Walker,TEN,1,5,3,52,1
Tyler Eifert,CIN,1,4,3,45,1
Julius Thomas,DEN,1,6,5,41,1
Zach Miller,SEA,1,7,5,40,1
Coby Fleener,IND,1,5,5,38,1
Heath Miller,PIT,1,4,2,17,1
Dallas Clark,BAL,1,4,3,9,1
Martellus Bennett,CHI,1,3,1,7,1
Charles Clay,MIA,1,3,1,7,1
Brandon Pettigrew,DET,1,7,3,7,1
Jermaine Gresham,CIN,1,5,4,64,0
Vernon Davis,SF,1,8,4,62,0
Kellen Davis,SEA,1,1,1,1,1
Robert Housler,ARI,1,7,7,53,0
Jason Witten,DAL,1,6,4,48,0
Greg Olsen,CAR,1,4,4,47,0
Jeff Cumberland,NYJ,1,7,3,41,0
Ladarius Green,SD,1,3,2,40,0
Garrett Graham,HOU,1,8,3,38,0
Jared Cook,STL,1,7,4,33,0
Zach Ertz,PHI,1,5,3,33,0
Antonio Gates,SD,1,6,6,31,0
Marcedes Lewis,JAC,1,3,1,31,0
Tony Gonzalez,ATL,1,4,2,30,0
Anthony Fasano,KC,1,5,4,27,0
Kyle Rudolph,MIN,1,9,3,27,0
Luke Willson,SEA,1,2,1,23,0
Vance McDonald,SF,1,2,1,20,0
Scott Chandler,BUF,1,3,2,18,0
Lee Smith,BUF,1,1,1,18,0
Ed Dickson,BAL,1,2,2,17,0
David Paulson,PIT,1,1,1,17,0
Joseph Fauria,DET,1,4,1,15,0
Brandon Myers,NYG,1,3,2,15,0
Tim Wright,TB,1,3,2,15,0
Tom Crabtree,TB,1,2,1,14,0
John Carlson,MIN,1,2,1,9,0
Brent Celek,PHI,1,4,1,9,0
Jim Dray,ARI,1,2,1,8,0
Jack Doyle,IND,1,2,1,7,0
Lance Kendricks,STL,1,3,2,7,0
Jacob Tamme,DEN,1,1,1,7,0
John Phillips,SD,1,1,1,5,0
Bear Pascoe,NYG,1,2,1,4,0
Sean McGrath,KC,1,2,1,1,0
Gary Barnidge,CLE,1,1,0,0,0
Gavin Escobar,DAL,1,1,0,0,0
Logan Paulsen,WAS,1,1,0,0,0
Andrew Quarless,GB,1,1,0,0,0
